C�digo;Denominaci�n;Rubro;Marca;Precio Compra
1191;MEZCLA ARTERIOESCLEROSIS - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
1192;CAFE INSTANTANEO SELECCION FRASCO X 100GR - LA VIRGINIA;VARIOS;LA VIRGINIA;7888
1193;HUMMUS GARBANZO X 230GR FLV - FELICES LAS VACAS;FRESCOS Y CONGELADOS;FELICES LAS VACAS;3415
1194;CAFE DESCAFEINADO KALMA X 100GR - LA VIRGINIA;VARIOS;LA VIRGINIA;8827
1195;HIERBAS GRANEL JARILLA;HIERBAS MEDICINALES;GRANEL;19552
1196;CHOCOLATE DR CACAO CON ALMENDRA Y COCO 70% (x paq.);SIN TACC;DR CACAO;10275
1197;KEFIR LIVE - LIVE;FRESCOS Y CONGELADOS;LIVE;3397
1198;FIBRA CON PASAS - GRANIX;CEREALES;GRANIX;15651
1199;CACAO DULCE - GRANEL;REPOSTER�A;GRANEL;18342
12;LECHE DE COCO POLVO - GRANEL;LECHES VEGETALES;GRANEL;56075
120;SAL EL NATURALISTA SIN SODIO APIO - EL NATURALISTA;VARIOS;EL NATURALISTA;4465
1200;YERBA MATE TITRAYJU X 500G - TITRAYJU;ORGANICOS;TITRAYJU;6933
1201;SALSA DE SOJA SANTE - SANTE;SALSAS Y ADEREZOS;SANTE;4822
1202;MISO SANTE X 330CC - SANTE;VARIOS;SANTE;6902
1203;PASTA DE SESAMO SANTE X 200G - SANTE;SALSAS Y ADEREZOS;SANTE;6902
1204;MORINGA CAPSULAS X 90 - EL MORINGUERO;LABORATORIO;EL MORINGUERO;28037
1205;GRAVIOLA CAPSULAS X 90 - EL MORINGUERO;LABORATORIO;EL MORINGUERO;28037
1206;AZUFRE EN POLVO x 50gr (x U.);LABORATORIO;QU�MICA JUJUY;3785
1208;HIERBAS GRANEL TUSCA;HIERBAS MEDICINALES;GRANEL;43774
1209;TOFU ORGANICO ORIGINAL X 320GR - SOYLAND;ORGANICOS;SOYLAND;8286
121;SAL EL NATURALISTA SIN SODIO OREGANO - EL NATURALISTA;VARIOS;EL NATURALISTA;4465
1210;LICOR PRIMO X 500 CC;VARIOS;;27936
1211;CAFE TOSTADO COLOMBIA MOLIDO 500GR - MORENITA;VARIOS;MORENITA;20761
1212;HIERBAS GRANEL U�A DE GATO;HIERBAS MEDICINALES;GRANEL;145792
1213;HIERBAS GRANEL VERBENA;HIERBAS MEDICINALES;GRANEL;19067
1214;CHOCOARROZ DULCE DE LECHE;VARIOS;GALLO;1343
1215;TORTITAS PINCHADAS PANYUCA;SIN TACC;PANYUCA;4411
1216;ROSE ORGANICO S/SULFITOS CECCHIN - CECCHIN;ORGANICOS;CECCHIN;10383
1217;MALBEC ORGANICO CECCHIN - CECCHIN;ORGANICOS;CECCHIN;7347
1218;HIERBAS GRANEL SOMBRA DE TORO;HIERBAS MEDICINALES;GRANEL;18642
1219;HIERBAS GRANEL HELIOTROPUM;HIERBAS MEDICINALES;GRANEL;26821
122;SAL EL NATURALISTA SIN SODIO PIMIENTA - EL NATURALISTA;VARIOS;EL NATURALISTA;4465
1220;HIERBAS GRANEL HIPERICO;HIERBAS MEDICINALES;GRANEL;40289
1221;HIERBAS GRANEL LEMON GRASS;HIERBAS MEDICINALES;GRANEL;103958
1222;SPIRULINA Y CHLORELLA ORGANIKAL - ORGANIKAL;LABORATORIO;ORGANIKAL;21954
1223;HIERBAS GRANEL BORRAJA;HIERBAS MEDICINALES;GRANEL;32118
1224;HONGOS SHITAKE ENTEROS - GRANEL;DESECADOS;GRANEL;119816
1225;YERBA MATE PORONGO X 500GR - PORONGO;ORGANICOS;PORONGO;7727
1226;YERBA MATE SUAVE ROAPIPO X 500G;ORGANICOS;ROAPIPO;6328
1227;INTI ZEN CALMA ANDINA - INTI ZEN;INFUSIONES Y TES;INTI ZEN;7950
1228;INTI ZEN HERBAL MIX - INTI ZEN;INFUSIONES Y TES;INTI ZEN;9044
1229;YERBA PIPORE HIERBAS SERRANAS x 500gr;VARIOS;PIPORE;6297
123;VAINILLA POLVO QUIMICA JUJUY 3,5 GRS - QUIMICA JUJUY;REPOSTER�A;QU�MICA JUJUY;7860
1230;HIERBAS GRANEL CHACHACOMA;HIERBAS MEDICINALES;GRANEL;55026
1231;HIERBAS GRANEL BAILA BIEN;HIERBAS MEDICINALES;GRANEL;13225
1232;HIERBAS GRANEL MEJORANA;HIERBAS MEDICINALES;GRANEL;35044
1233;CHOCOLATE H.MAJO SIN AZUCAR CON LECHE X 70 GRS - HEALTHY MAJO (x U.);SIN AZ�CAR;HEALTHY MAJO;11492
1234;STEVIA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4040
123456;TINTURA MADRE HAMAMELIS - DROGUERIA ARGENTINA (x U.);LABORATORIO;DROGUERIA ARGENTINA;10687
1235;PROP�LEOS 60CC - HERBOTECA;VARIOS;HERBOTECA;19161
1236;ARTEMISA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2540
1237;ABEDUL - HERBOTECA (x bol.);HIERBAS MEDICINALES;HERBOTECA;3219
1238;AGRACEJO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4285
1239;ACORO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4691
124;AGUA DE ROSAS X 100 CC QUIMICA JUJUY - QU�MICA JUJUY;REPOSTER�A;QU�MICA JUJUY;3274
1240;AJEDREA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3563
1241;ALFALFA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2146
1242;ALCANFOR - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2093
1243;AQUILEA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2998
1244;ARRAYAN - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3066
1245;BAILA BIEN - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2093
1246;BARDANA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2922
1247;BORRAJA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2881
1248;BRUSCA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4691
1249;CALAGUALA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2660
125;PASTA DENTAL AYURVEDICA SIN FLUOR CANELA X 100GR - SRI SRI;COSMETICA;SRI SRI;9034
1250;CANCHALAGUA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2093
1251;CARDO SANTO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2671
1253;CASCARA DE GRANADA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4114
1254;AJENJO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2435
1255;CEIBO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3828
1256;CEPA DE CABALLO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2804
1257;NUGGETS BROCOLI X 325GR - NATURALRROZ;VEGANOS;NATURALRROZ;7917
1258;PANKO - GRANEL;JAPONESES;GRANEL;6400
1259;COLAGENO HIDROLIZADO X 75G - LUCOVER;LABORATORIO;LUCOVER;1599
126;MORINGA X 50 CAPS - NATIER;LABORATORIO;NATIER;26694
1260;ADAPTOGENO CORDYCEPS X 60CC - SUPPLY;LABORATORIO;SUPPLY;22544
