C�digo;Denominaci�n;Rubro;Marca;Precio Compra
1540;Tamara Quiroga;VARIOS;;18
1541;HIERBAS GRANEL CALAGUALA;HIERBAS MEDICINALES;GRANEL;26821
1542;HIERBAS GRANEL CANCHALAGUA;HIERBAS MEDICINALES;GRANEL;18893
1543;PAN LOMO PANYUCA (x U.);SIN TACC;PANYUCA;5090
1544;HIERBAS GRANEL MUERDAGO (x Kg.);HIERBAS MEDICINALES;GRANEL;21965
1545;HIERBAS GRANEL HIGUERA;HIERBAS MEDICINALES;GRANEL;25191
1546;GALLETAS CHIA Y ARANDANOS X 72GR - INTEGRA (x U.);PANIFICADOS;INTEGRA;1704
1547;GALLETAS CACAO Y CHOCOLATE X 72GR - INTEGRA (x U.);PANIFICADOS;INTEGRA;1704
1548;SORRENTINOS CALABAZA PANYUCA (x U.);SIN TACC;PANYUCA;12788
1549;NOT CHICKEN MILA x 220GR (x U.);VEGANOS;NOTCO;6809
155;AVELLANAS - GRANEL;FRUTOS SECOS;GRANEL;100956
1550;MEDALLON DE ESPINACA 2 X 110G - FELICES LAS VACAS;FRESCOS Y CONGELADOS;FELICES LAS VACAS;3111
1551;SORRENTINOS JAMON Y QUESO PANYUCA;SIN TACC;PANYUCA;12788
1552;SEITAMBRITO A LA PIZZA- POSTRES VEGANOS;FRESCOS Y CONGELADOS;POSTRES VEGANOS;16816
1553;SALVADO DE AVENA X 250GR - BIO;SIN TACC;BIO;4161
1554;CALZON CAPRESE X 2U-VEGANHUEL;VEGANOS;VEGANHUEL;12991
1555;NOT EMPANADA CARNE 336GR;VEGANOS;NOTCO;10118
1556;GELATINA LIGHT DURAZNO - BC;SIN AZ�CAR;BC;1635
1557;MILANESA GARBANZO RELLENA- VEGANHUEL;VEGANOS;VEGANHUEL;8905
1558;MILANESA QUINOA- VEGANHUEL;VEGANOS;VEGANHUEL;9413
1559;PANQUEQUE DE AVENA FRUTOS ROJOS X 6U - BYGIRO;VEGANOS;BYGIRO;8027
156;CARDAMOMO VERDE ENTERO - GRANEL;SEMILLAS;GRANEL;259021
1560;HARINA DE MORINGA;LABORATORIO;LUCOVER;3440
1561;LAUREL MOLIDO - GRANEL;ESPECIAS Y CONDIMENTOS;GRANEL;83114
1563;WASABI POLVO (x Kg.);ESPECIAS Y CONDIMENTOS;GRANEL;81528
1564;COPOS DE MAIZ CON MIEL;CEREALES;GRANIX;27483
1565;DESODORANTE SPRAY ALOE VERA Y KALE 75ML - BOTANIKA;COSMETICA;BOTANIKA;9657
1566;SHAMPU SOLIDO ROMERO-TEA TREE X 80GR -BOTIK;VEGANOS;BOTIK;17031
1567;KETCHUP HEINZ X 397 GRS;SALSAS Y ADEREZOS;HEINZ;9156
1568;ENARGY GEL CON CAFEINA;SUPLEMENTOS DEPORTIVOS;ENA;2004
1569;ENARGY GEL SIN CAFEINA;LABORATORIO;ENA;1948
157;CHIMICHURRI - GRANEL;ESPECIAS Y CONDIMENTOS;GRANEL;39109
1570;AJO NEGRO NATIER X 50 CAPSULAS;LABORATORIO;NATIER;20525
1571;PROTEIN BAR CHOCOLATE- ENA;SUPLEMENTOS DEPORTIVOS;ENA;2431
1572;HIERBAS GRANEL PALAN-PALAN;HIERBAS MEDICINALES;GRANEL;24684
1573;LEVEX LEVADURA 1 PAR X 10GR C/U;LABORATORIO;LEVEX;615
1574;PRE MEZCLA PAN Y PIZZA KETO X 200GR;SIN TACC;REINA FOOD;8780
1575;PURA FRUTTA MANZANA VERDE X 200 ML (x U.);JUGOS;PURA FRUTTA;1573
1576;PURA FRUTTA MANZANA ROJA 200 ML. (x U.);JUGOS;PURA FRUTTA;1573
1577;PALO SANTO;HIERBAS MEDICINALES;HERBOTECA;78721
1578;HIERBAS GRANEL MELILOTO (x Kg.);HIERBAS MEDICINALES;GRANEL;23182
1579;HIERBAS GRANEL BRUSCA;HIERBAS MEDICINALES;GRANEL;50382
158;ENEBRO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;5673
1580;CHIPS MANDIOCA (x bol.);SIN TACC;NUESTROS SABORES;2687
1581;CHIPS REMOLACHA Y BATATA (x bol.);SIN TACC;NUESTROS SABORES;2687
1582;CHIPS ZANAHORIA (x bol.);SIN TACC;NUESTROS SABORES;2687
1583;CHIPS DE PAPAS CON PIMIENTA NEGRA (x bol.);SIN TACC;NUESTROS SABORES;2687
1584;NO ARTRIT CALCIO+MAGNESIO (x U.);LABORATORIO;GEONAT;14035
1585;TE DE COCA WINDSOR;INFUSIONES Y TES;;753
1586;CARAMELOS SIN AZUCAR ANANA - ICY;SIN TACC;ICY;2460
1587;STEVIA LIQUIDA X 500ML - KONY (x U.);EDULCORANTES;KONY;10626
1588;TARTA DE ZUCCHINI SIN TACC- PANYUCA;SIN TACC;PANYUCA;9247
1589;TARTA DE VERDURA SIN TACC- PANYUCA;SIN TACC;PANYUCA;9247
159;ENELDO - GRANEL;SEMILLAS;GRANEL;43769
1590;TE VERDE CON JAZMIN - FINCA VICTORIA;DELICATESSEN;FINCA VICTORIA;7702
1591;AZUCAR DE CA�A ORGANICA - BROTES DE TRASLASIERRA X 700G;ORGANICOS;BROTES DE TRASLASIERRA;9707
1592;HELADO CHOCOLATE CON CHIPS X 330GR - NOT CO;FRESCOS Y CONGELADOS;NOTCO;13289
1593;BARRITA INTEGRA CHOCOLATE MANI;VEGANOS;INTEGRA;1839
1594;MERMELADA SIN AZUCAR DE FRUTOS ROJOS X 380GR;DULCES Y MERMELADAS;BRUCOR;7976
1595;SUPREMA DE POLLO VEGETAL-;VEGANOS;POSTRES VEGANOS;8957
1596;HELADO CHOCOLATE X 370GR - HAULANI;FRESCOS Y CONGELADOS;HAULANI;15442
1597;LIMONADA CURCUMA ORGANICA X 500ML - LAS BRISAS;JUGOS;LAS BRISAS;3951
1598;VIOLETA DE GENCIANA;LABORATORIO;QU�MICA JUJUY;13770
1599;PANCAKE PROTEICO X 450GR CHOCOLATE - GRANGER;REPOSTER�A;GRANGER;16423
16;MERMIDIET DURAZNO - MERMIDIET;SIN AZ�CAR;MERMIDIET;8302
160;ROMERO GRANEL HERBOTECA;ESPECIAS Y CONDIMENTOS;HERBOTECA;28299
1600;L-GLUTAMINA HTN x 300grs;SUPLEMENTOS DEPORTIVOS;HTN;39201
1601;L-GLUTAMINA X300 GRS - STAR NUTRITION;SUPLEMENTOS DEPORTIVOS;STAR NUTRITION;54207
1602;PUMP V8 X250 GRS - STAR NUTRITION;SUPLEMENTOS DEPORTIVOS;STAR NUTRITION;58977
1603;ALCAPARRAS X 85GR - CRISTO DE LOS CERROS;DELICATESSEN;CRISTO DE LOS CERROS;6337
1604;ISOLATE WHEY FRUTILLA - STAR NUTRITION x 908grs;SUPLEMENTOS DEPORTIVOS;STAR NUTRITION;133549
1605;CREATINA X300 GRS - STAR NUTRITION;SUPLEMENTOS DEPORTIVOS;STAR NUTRITION;124328
1606;HIBISCUS - HERBOTECA (x bol.);HIERBAS MEDICINALES;HERBOTECA;4574
1607;PROPOLEOS SPRAY X 30CC;VARIOS;HERBOTECA;11660
1608;TINTURA MADRE NENCIA - DROGUERIA ARGENTINA;LABORATORIO;DROGUERIA ARGENTINA;12632
1609;MUZZOLIVA X 500GR - FELICES LAS VACAS;FRESCOS Y CONGELADOS;FELICES LAS VACAS;10204
161;MANZANA CUBETEADA - GRANEL;DESECADOS;GRANEL;46335
1610;QUESO UNTABLE FANTASTIQUE X 200G TRADICIONAL;FRESCOS Y CONGELADOS;FELICES LAS VACAS;3828
1611;QUESO UNTABLE FANTASTIQUE X 200G FINAS HIERBAS;FRESCOS Y CONGELADOS;FELICES LAS VACAS;3828
1612;Tamara Quiroga Suma Salud;VARIOS;;28324
1613;ADAPTOGENO MELENA DE LEON X 60CC - MYCO;LABORATORIO;MYCO;21780
1614;FRUTOS ROJOS X 1K FENIX;FRESCOS Y CONGELADOS;FENIX;22381
1615;MARACUYA X 1K FENIX;FRESCOS Y CONGELADOS;FENIX;23631
1616;PROBIOTICO X 50 CAP NATIER;LABORATORIO;NATIER;51668
1617;VITAMINA D3 X 50 CAP NATIER;LABORATORIO;NATIER;23318
1618;COLAGENO + E X 50 CAP NATIER;LABORATORIO;NATIER;25827
1619;ERYLITE ENDULZANTE NATIER X250 GRS;EDULCORANTES;NATIER;25843
162;CASCARA DE POMELO RODAJAS - GRANEL;DESECADOS;GRANEL;75935
1620;VENORELAX NATIER;LABORATORIO;NATIER;39051
1621;GEL PARA PIERNAS NATIER VENORELAX;LABORATORIO;NATIER;36641
1623;GRANAGUA SIN SAL 3 EN 1 X 555GR GRANIX;PASTAS, PANIFICADOS Y REPOSTERIA;GRANIX;4132
1624;MOSTAZA DIJON X 210GR - RECETAS DE ENTONCES;SALSAS Y ADEREZOS;RECETAS DE ENTONCES;9740
1625;ARROZ P/PAELLA 1KG - SAN GIORGIO;ARROCES Y CEREALES;SAN GIORGIO;43485
1626;RELLENO UNTABLE COFLER BLOCK;REPOSTER�A;AGUILA;13826
1627;MACA + POLEN X 90 CAP PRODENZA;LABORATORIO;PRODENZA;20992
1628;ACEITE ESENCIAL DE ROMERO BIOFIT;ACEITES COSMETICOS;BIOFIT;7031
163;JENGIBRE EN CUBOS GLASEADO - GRANEL;DESECADOS;GRANEL;54784
1630;ALFAJOR DE PISTACHO KETO SIN AZUCAR - ATIPICO;SIN TACC;ATIPICO;6339
1631;MOLDE PAN DULCE X 700 GRS;REPOSTER�A;MOLDES;387
1632;MOLDE PAN DULCE X500 GRS;REPOSTER�A;MOLDES;324
1633;MOLDE BUDIN X 280 GRS;REPOSTER�A;MOLDES;516
1634;MACA X 90 CAP PRODENZA;LABORATORIO;PRODENZA;20992
1635;GRANAGUA SANDWICH CON SAL 3 EN 1 GRANIX;CEREALES;GRANIX;4176
1636;SALVADO CON SAL 3 EN 1 - GRANIX;CEREALES;GRANIX;5417
1637;MEDALLON BIG CLASSIC X 2 U. FELICES LAS VACAS;FRESCOS Y CONGELADOS;FELICES LAS VACAS;4386
164;KIWI EN RODAJAS - GRANEL;DESECADOS;GRANEL;50382
1640;FIESTA ARANDANO CON CHOCOLATE X 145 GRS;DELICATESSEN;CHOCOLART;7928
1641;FIESTA AVELLANA CON CHOCOLATE X 115GRS;DELICATESSEN;CHOCOLART;5544
1642;FIESTA NARANJA CON CHOCOLATE X 145 GRS;DELICATESSEN;CHOCOLART;7869
1643;FIESTA MANI CON CHOCOLATE X 145 GRS;DELICATESSEN;CHOCOLART;3652
1644;FIESTA ALMENDRA CON CHOCOLATE X 145 GRS;DELICATESSEN;CHOCOLART;6539
1645;FIESTA CAFE CON CHOCOLATE X 145 GRS;DELICATESSEN;CHOCOLART;7764
1646;FIESTA PASAS CON CHOCOLATE X 160 GRS;DELICATESSEN;CHOCOLART;5139
1647;FIESTA CEREAL CON CHOCOLATE X 115 GRS;DELICATESSEN;CHOCOLART;3347
1648;FIESTA LENTEJAS CON CHOCOLATE X 160 GRS;DELICATESSEN;CHOCOLART;5423
1649;JUGO DURAZNO X 90GR - ZUMMY;JUGOS;ZUMMY;1878
165;MANGO EN CUBOS - GRANEL;DESECADOS;GRANEL;53921
1650;VITEL TONE GREEN DRAGON;VEGANOS;GREEN DRAGON;12374
1651;HIERBAS GRANEL MALVABISCO;HIERBAS MEDICINALES;GRANEL;51370
1652;HIERBAS GRANEL ESPINO BLANCO;HIERBAS MEDICINALES;GRANEL;138613
1653;HIERBAS GRANEL SANGUINARIA;HIERBAS MEDICINALES;GRANEL;22716
1654;HIERBAS GRANEL SANALOTODO;HIERBAS MEDICINALES;GRANEL;26128
1655;HIERBAS GRANEL RUIBARDO;HIERBAS MEDICINALES;GRANEL;43902
1656;HIERBAS GRANEL RETAMILLA;HIERBAS MEDICINALES;GRANEL;21250
1657;HIERBAS GRANEL REGALIZ;HIERBAS MEDICINALES;GRANEL;106908
1658;HIERBAS GRANEL PEZU�A DE VACA;HIERBAS MEDICINALES;GRANEL;16977
1659;HIERBAS GRANEL DAMIANA;HIERBAS MEDICINALES;GRANEL;286228
166;MEL�N EN CUBOS - GRANEL;DESECADOS;GRANEL;38308
1660;HIERBAS GRANEL HARPAGOFITO;HIERBAS MEDICINALES;GRANEL;253958
1661;HIERBAS GRANEL CONSUELDA;HIERBAS MEDICINALES;GRANEL;36571
1662;HIERBAS GRANEL FUMARIA;HIERBAS MEDICINALES;GRANEL;36571
1663;HIERBAS GRANEL ARNICA POLVO;HIERBAS MEDICINALES;GRANEL;119478
1664;HIERBAS GRANEL JARAMAGO;HIERBAS MEDICINALES;GRANEL;20791
1665;HIERBAS GRANEL GENCIANA;HIERBAS MEDICINALES;GRANEL;298482
1666;HIERBAS GRANEL NENCIA;HIERBAS MEDICINALES;GRANEL;117467
1667;HIERBAS GRANEL ENULA CAMPANA;HIERBAS MEDICINALES;GRANEL;54857
1668;HIERBAS GRANEL RETORTU�O;HIERBAS MEDICINALES;GRANEL;56853
1669;HIERBAS GRANEL SANTA MARIA;HIERBAS MEDICINALES;GRANEL;31364
167;PAPAYA EN CUBOS - GRANEL;DESECADOS;GRANEL;28590
1670;HIERBAS GRANEL ASTRAGALO;HIERBAS MEDICINALES;GRANEL;45714
1671;HIERBAS GRANEL DULCAMARA;HIERBAS MEDICINALES;GRANEL;45714
1672;HIERBAS GRANEL ENCINA CORTEZA;HIERBAS MEDICINALES;GRANEL;42262
1673;HIERBAS GRANEL TRAMONTANA;HIERBAS MEDICINALES;GRANEL;24241
1674;HIERBAS GRANEL TOLA TOLA;HIERBAS MEDICINALES;GRANEL;53101
1675;HIERBAS GRANEL ALA DE LORO;HIERBAS MEDICINALES;GRANEL;23232
1676;BOTIK BALSAMO LABIAL FPS 30;COSMETICA;BOTIK;22092
1677;HIERBAS GRANEL CENTAURA MAYOR;HIERBAS MEDICINALES;GRANEL;26550
1678;HIERBAS GRANEL QUIMPE;HIERBAS MEDICINALES;GRANEL;30406
1679;HIERBAS GRANEL AGUARIBAY;HIERBAS MEDICINALES;GRANEL;19913
168;CASTA�AS DE CAJ� - GRANEL;FRUTOS SECOS;GRANEL;38798
1680;HIERBAS GRANEL YERBA DEL VENADO;HIERBAS MEDICINALES;GRANEL;24345
1681;HIERBAS GRANEL LENGUA DE VACA;HIERBAS MEDICINALES;GRANEL;10637
1682;MEZCLA MENOPAUSIA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
1683;MEZCLA DIVERTICULOS - HERBOTECA;HIERBAS MEDICINALES;GRANEL;5183
1684;EQUALSWEET SUCRALOSA X 100 - EQUALSWEET;EDULCORANTES;EQUALSWEET;7753
1685;MILANESA DE SOJA SIMPLE - KRECIENTE;FRESCOS Y CONGELADOS;KRECIENTE;4321
1686;MILANESA DE SOJA ACEITUNA Y QUESO - KRECIENTE;FRESCOS Y CONGELADOS;KRECIENTE;4758
1687;MILANESA DE SOJA JAMON Y QUESO - KRECIENTE;FRESCOS Y CONGELADOS;KRECIENTE;4758
1688;MILANESA DE SOJA ACELGA Y QUESO - KRECIENTE;FRESCOS Y CONGELADOS;KRECIENTE;4758
1689;MILANESA DE SOJA ZAPALLO Y QUESO - KRECIENTE;FRESCOS Y CONGELADOS;KRECIENTE;4758
169;HARINA DE ALMENDRAS SIN PIEL - GRANEL;HARINAS;GRANEL;74112
1690;YOGURT VAINILLA - QU;FRESCOS Y CONGELADOS;QU;3299
1691;BIZCOCHO INTEGRAL DE MANZANA;PASTAS, PANIFICADOS Y REPOSTERIA;HERBOTECA;895
1692;HIERBAS GRANEL ABEDUL;HIERBAS MEDICINALES;GRANEL;40231
1694;HIERBAS GRANEL ACORO;HIERBAS MEDICINALES;GRANEL;75572
1695;HIERBAS GRANEL AGRACEJO;HIERBAS MEDICINALES;GRANEL;32915
1696;HIERBAS GRANEL ALCANFOR;HIERBAS MEDICINALES;GRANEL;26450
1697;HIERBAS GRANEL CARDO MARIANO;HIERBAS MEDICINALES;GRANEL;181905
1698;HIERBAS GRANEL CASCARA DE GRANADA;HIERBAS MEDICINALES;GRANEL;30859
1699;HIERBAS GRANEL CASCARA SAGRADA;HIERBAS MEDICINALES;GRANEL;348893
17;MERMIDIET NARANJA - MERMIDIET;SIN AZ�CAR;MERMIDIET;6726
170;ALCACHOFA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2382
1700;HIERBAS GRANEL CHARRUA;HIERBAS MEDICINALES;GRANEL;60735
1701;LIMONADA HIBISCUS ORGANICA X 500ML - LAS BRISAS;JUGOS;LAS BRISAS;3951
1702;LIMONADA FRUTOS DEL BOSQUE ORGANICA X 500ML - LAS BRISAS;JUGOS;LAS BRISAS;3951
1703;LIMONADA JENGIBRE ORGANICA X 500ML - LAS BRISAS;JUGOS;LAS BRISAS;3951
1704;DANBO X 200GRS - FELICES LAS VACAS;VEGANOS;FELICES LAS VACAS;3385
1705;HAMAMELIS - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;7274
1706;NENCIA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;6437
1707;PLATA COLOIDAL X 60 ML;LABORATORIO;;5965
171;CENTELLA ASIATICA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;9397
1710;SRIRACHA X 250CC;SALSAS Y ADEREZOS;HASHI;5869
1715;VAQUETS CLASICO;VEGANOS;VAQUETES;5666
1716;HIERBAS GRANEL LAPACHO;HIERBAS MEDICINALES;GRANEL;80345
1717;VAQUETS AMARELLO;VEGANOS;VAQUETES;5666
1718;ACEITE ESENCIAL ARBOL DEL TE BIOFIT;ACEITES COSMETICOS;BIOFIT;6918
1719;ACEITE ESENCIAL DE JAZMIN BIOFIT;ACEITES COSMETICOS;BIOFIT;6093
172;PULMONARIA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2102
1720;ACEITE ESENCIAL DE MENTA BIOFIT;ACEITES COSMETICOS;BIOFIT;5179
1721;ACEITE ESENCIAL ROSA MOSQUETA BIOFIT;ACEITES COSMETICOS;BIOFIT;7034
1722;CURCUMA POTENCIADA BIOFIT;LABORATORIO;BIOFIT;2645
1723;FLEBOFIX BIOFIT;LABORATORIO;BIOFIT;2831
1724;ZINC NATIER X 50 CAPSULAS;LABORATORIO;NATIER;21658
1725;CREMA DENTAL BLANQUEADORA- BOTI-K;VEGANOS;BOTIK;16237
1726;GREEN DIET GARDEN HOUSE;LABORATORIO;GARDEN HOUSE;35575
1727;AJO 1000 GARDEN HOUSE;LABORATORIO;GARDEN HOUSE;16604
1728;PROTEIN BAR BANANA SPLIT CRUNCHY ENA;SUPLEMENTOS DEPORTIVOS;ENA;2431
173;TE NEGRO - HERBOTECA;INFUSIONES Y TES;HERBOTECA;2144
1730;HIERBAS GRANEL EUFRASIA;HIERBAS MEDICINALES;GRANEL;203768
1731;NOT BURGER PARRILLERA 110GR X 2 UN;VEGANOS;NOTCO;8734
1732;NOT BURGER PREMIUM X 2 UNIDADES nueva receta;VEGANOS;NOTCO;5570
1733;MILANESA DE SOJA CLASICA - SOL DEL ESTE;FRESCOS Y CONGELADOS;SOL DEL ESTE;3452
1734;PLATA IONICA S650;LABORATORIO;S650;20391
1735;MILANESA DE SOJA RELLENA PALETA Y QUESO - SOL DEL ESTE;FRESCOS Y CONGELADOS;SOL DEL ESTE;4928
1736;MILANESA DE SOJA RELLENA ACELGA Y QUESO - SOL DEL ESTE;FRESCOS Y CONGELADOS;SOL DEL ESTE;4928
1737;CHURRASQUITO X 2 U. SUR VEGANO;VEGANOS;SUR VEGANO;11241
1738;ALBAHACA POLVO - GRANEL;DESECADOS;GRANEL;36702
1739;LEVADURA GRANEL;HARINAS Y SEMILLAS;GRANEL;25542
174;BANANA EN RODAJAS - GRANEL;DESECADOS;GRANEL;25915
1740;GIRASOL TOSTADO Y SALADO;SEMILLAS;GRANEL;15389
1741;TRIPTOFANO X 50 CAPS - NATIER;LABORATORIO;NATIER;24850
1742;APIO GRANEL;SEMILLAS;GRANEL;53794
1743;COLAGENO LICOPENO Y CAROTENO GENEO SOLAR X 250G NATUFARMA;LABORATORIO;NATUFARMA;28637
1744;ADAPTOGENO ASHWAGANDHA X 60CC - SINERGIA;LABORATORIO;SINERGIA;37339
1745;CEREZAS AL MARRASQUINO - CASA DE LA TORRE (x U.);REPOSTER�A;CASA DE LA TORRE;17051
1746;LAPACHO TRADICIONAL X 500CC;LABORATORIO;BIOFIT;15700
1747;SAL DEL HIMALAYA FINA X 500GR - Q SAL;VARIOS;Q SAL;4981
1748;TEXTURIZADO DE ARVEJA;VEGANOS;POSTRES VEGANOS;7711
1749;MUECAS PASAS Y ALMENDRAS;VARIOS;MUECAS;1551
175;ARROZ BASMATI - GRANEL;ARROCES;GRANEL;16873
1750;MUECAS MANZANA Y ARANDANOS;VARIOS;MUECAS;1551
1751;MUECAS BANANA Y DULCE DE LECHE;VARIOS;MUECAS;1551
1752;MUECAS CACAO Y AVELLANAS;VARIOS;MUECAS;1551
1753;MUECAS SIN AZUCAR PASAS Y ARANDANOS;VARIOS;MUECAS;1551
1754;EXTRACTO DE VAINILLA NATURAL X 30CC - EL CASTILLO;REPOSTER�A;EL CASTILLO;6204
1755;HUMMUS CON TOMATE Y PEREJIL X 100GR - GRANIX;VARIOS;GRANIX;1759
1756;HIERBAS GRANEL HAMAMELIS;HIERBAS MEDICINALES;GRANEL;196528
1757;HIERBAS GRANEL FRANGULA;HIERBAS MEDICINALES;GRANEL;62977
1758;HIERBAS GRANEL EFEDRA;HIERBAS MEDICINALES;GRANEL;48139
1759;HIERBAS GRANEL DORADILLA;HIERBAS MEDICINALES;GRANEL;28969
176;ARROZ CARNAROLI - GRANEL;ARROCES;GRANEL;14200
1760;HIERBAS GRANEL CONTRAYERBA;HIERBAS MEDICINALES;GRANEL;52901
1761;HIERBAS GRANEL MARRUBIO;HIERBAS MEDICINALES;GRANEL;22388
1762;HIERBAS GRANEL ROSA MOSQUETA;HIERBAS MEDICINALES;GRANEL;92903
1763;ALFAJOR DE MAICENA - LA ALFAJORERIA;PASTAS, PANIFICADOS Y REPOSTERIA;LA ALFAJORERIA;1241
1764;ALFAJOR DE MIEL - LA ALFAJORERIA;PASTAS, PANIFICADOS Y REPOSTERIA;LA ALFAJORERIA;1241
1765;ALFAJOR BA�ADO CHOCOLATE - LA ALFAJORERIA;PASTAS, PANIFICADOS Y REPOSTERIA;LA ALFAJORERIA;1832
177;ARROZ JAZM�N - GRANEL;ARROCES;GRANEL;55641
1770;PAN LACTAL TRIGO SARRACENO - PANYUCA;SIN TACC;PANYUCA;10008
1771;SORRENTINOS HUMMUS Y SESAMO - ONCE;SIN TACC;ONCE;15056
1772;HELADO SUPER DULCE DE LECHE X 330GR - NOT CO;FRESCOS Y CONGELADOS;NOTCO;13289
1773;�OQUIS LENTEJAS - ONCE;SIN TACC;ONCE;9739
1774;�OQUIS ARVEJAS - ONCE;SIN TACC;ONCE;9739
1775;PAN LACTAL - PANYUCA;SIN TACC;PANYUCA;9668
1776;NATURITOS DULCE DE LECHE;CEREALES;GRANIX;21947
1777;PATITAS DE POLLO - PANYUCA;SIN TACC;PANYUCA;10857
1778;NUGGETS POLLO X 325GR - NATURALRROZ;VEGANOS;NATURALRROZ;7917
1779;EMPANADAS CHOCLO X 3 - PANYUCA;SIN TACC;PANYUCA;8821
178;ARROZ SALVAJE - GRANEL;ARROCES;GRANEL;42390
1780;ACEITE DE OREGANO x 30CC - NATIER;VEGANOS;NATIER;27356
1781;ACEITE DE COCO NEUTRO X 1000CC - ENTRE NUTS;ACEITES COMESTIBLE;ENTRE NUTS;22260
1782;ACEITE DE COCO VIRGEN X 360CC - ENTRE NUTS;ACEITES COMESTIBLE;ENTRE NUTS;18146
1783;TAZA REGALO - HERBOTECA;VARIOS;HERBOTECA;5165
1784;CHIPS DE COCO TOSTADO;DESECADOS;HERBOTECA;74902
1785;K2 + D3 VITAMINAS 50 CAPS - NATIER;LABORATORIO;NATIER;28396
1786;ENVIO;VARIOS;;2
1787;MAYOV ZANAHORIA X 270GR;VEGANOS;RECETAS DE ENTONCES;9808
1788;MAYOV REMOLACHA X 270GR;VEGANOS;RECETAS DE ENTONCES;9808
1789;BARRA PROTEICA VAINILLA NATURAL 45GR - KI BAR;VARIOS;KI BAR;2136
179;AGAR AGAR - GRANEL;REPOSTER�A;GRANEL;92365
1790;GALLETAS CACAO Y CHOCOLATE X 200GR - INTEGRA;PANIFICADOS;INTEGRA;3383
1791;CREATINA MONOHIDRATADA X 300GR - NATIER;LABORATORIO;NATIER;28271
1792;ALOE VERA BEBIBLE SISTEMA DIGESTIVO X 250 CC NATIER;LABORATORIO;NATIER;12349
1793;CHOCOLATE COLONIAL CON STEVIA 70% 100 GRS;VARIOS;COLONIAL;10286
1794;CHOCOLATE COLONIAL SIN AZUCAR 55% X 100 GRS;VARIOS;COLONIAL;10542
1795;CHOCOLATE ORGANICO COLONIAL 80% X 100GRS;VARIOS;COLONIAL;12900
1796;MACA ROJA x 500GR;LABORATORIO;KALLPA;4891
1797;REGGIANITO EN HEBRAS X 200GR - FELICES LAS VACAS;VEGANOS;FELICES LAS VACAS;4781
1798;MIX DE QUESOS EN HEBRAS X 200GR - FELICES LAS VACAS;VEGANOS;FELICES LAS VACAS;4555
1799;SALVADO SIN SAL 3 EN 1 GRANIX;CEREALES;GRANIX;5296
18;MERMIDIET FRUTOS ROJOS - MERMIDIET;SIN AZ�CAR;MERMIDIET;8620
180;FARI�A DE MANDIOCA - GRANEL;HARINAS;GRANEL;11865
181;ARVEJAS - GRANEL;GRANOS Y LEGUMBRES;GRANEL;4601
182;HABAS - GRANEL;GRANOS Y LEGUMBRES;GRANEL;43345
183;HARINA DE COCO - GRANEL;HARINAS;GRANEL;18674
184;HARINA DE MA�Z AMILACEO - GRANEL;HARINAS;GRANEL;4198
1845;BARRA PROTEICA MANZANA Y ALGARROBA 45GR - KI BAR;VARIOS;KI BAR;2136
1846;CAJA DE TE MADERA MEDIANA - ERES (x U.);INFUSIONES Y TES;ERES;71696
1847;TAHINE X 200GR - RECETAS DE ENTONCES;SALSAS Y ADEREZOS;RECETAS DE ENTONCES;12814
1848;DULCE DE LECHE COLONIAL - FELICES LAS VACAS;VEGANOS;FELICES LAS VACAS;5614
1849;INFUSION HERBAL X UNIDAD ERES (x U.);INFUSIONES Y TES;ERES;1874
185;HARINA DE MA�Z BLANCO AREPAS - GRANEL;HARINAS;GRANEL;9664
1852;sueldo;VARIOS;;22
186;LENTEJ�N - GRANEL;GRANOS Y LEGUMBRES;GRANEL;7398
187;LENTEJA ROJA - GRANEL;GRANOS Y LEGUMBRES;GRANEL;12733
1878;MIEL EN SECCIONES;VARIOS;;8033
188;POROTO ADUKI - GRANEL;GRANOS Y LEGUMBRES;GRANEL;11853
189;POROTO NEGRO - GRANEL;GRANOS Y LEGUMBRES;GRANEL;7223
19;MERMIDIET ARANDANOS - MERMIDIET;SIN AZ�CAR;MERMIDIET;9071
190;SALVADO DE TRIGO FINO;HARINAS;GRANEL;8106
1905;COLAGENO BEBIBLE + MATCHA VITAMIN WAY;LABORATORIO;VITAMIN WAY;34593
1906;COLAGENO BEBIBLE ARTICULACIONES / FLEX - VITAMIN WAY;LABORATORIO;VITAMIN WAY;39897
1907;MULTIVITAMINICO ENERGIA VITAMIN WAY X 30 CAP;LABORATORIO;VITAMIN WAY;13205
191;SALVADO DE TRIGO GRUESO - GRANEL;HARINAS;GRANEL;3630
1914;CITRATO DE POTASIO X 30 CAPS - VITAMIN WAY;LABORATORIO;VITAMIN WAY;10515
1915;STEVIA CRISTALIZADA X 30 SOBRES - DULRI;EDULCORANTES;DULRI;5348
1916;K2 + MAGNESIO X 30 CAPS - VITAMIN WAY;LABORATORIO;VITAMIN WAY;16512
1917;PAN DE HAMBURGUESAS - PANYUCA;SIN TACC;PANYUCA;5090
